"Cikkszám","Termék Név","Státusz","Nettó Ár","Bruttó Ár","Kategória","Rövid Leírás","Kép link","Egység","Tömeg","Paraméter: Lemez állapota||text","Paraméter: Borító állapota||text","Paraméter: Műfaj||text","Paraméter: Label||text","Paraméter: Kiadó ország||text","Paraméter: Formátum||text","Paraméter: Megjegyzés||text","Paraméter: Polchely||text"
"csukas-bergendy-susu","Csukás - Bergendy / Süsü csapdába esik / Süsü és a sárkánylány SLPX 14091","2","1499","1499","Használt bakelit/vinyl lemezek, CD-k és kazetták|Mese- és gyerek használt lemezek","A lemez állapotát szemrevètelezès alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Hungary 1988<br /><br />0129","http://www.lemezordog.hu/shop_ordered/81963/shop_pic/csukas-bergendy-susu.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/csukas-bergendy-susu_altpic_1.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/csukas-bergendy-susu_altpic_2.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/csukas-bergendy-susu_altpic_3.jpg","db","0.2","EX","VG+","","","","","","0129"
"Gyerobik-Zenes-Torna-Gyerekeknek","Gyerobik / Zenés torna gyerekeknek SLPM 17850","2","999","999","Használt bakelit/vinyl lemezek, CD-k és kazetták|Mese- és gyerek használt lemezek","A lemez állapotát szemrevètelezès alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Hungary 1984<br /><br />0036","http://www.lemezordog.hu/shop_ordered/81963/shop_pic/Gyerobik-Zenes-Torna-Gyerekeknek.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/Gyerobik-Zenes-Torna-Gyerekeknek_altpic_1.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/Gyerobik-Zenes-Torna-Gyerekeknek_altpic_2.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/Gyerobik-Zenes-Torna-Gyerekeknek_altpic_3.jpg","db","0.2","EX","EX","","","","","",""
"Halasz-Judit-Kep-a-tukorben","Halász Judit / Kép a tükörben SLPX 13740","2","999","999","Használt bakelit/vinyl lemezek, CD-k és kazetták|Mese- és gyerek használt lemezek","A lemez állapotát szemrevètelezès alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Hungary <br /><br />0033","http://www.lemezordog.hu/shop_ordered/81963/shop_pic/Halasz-Judit-Kep-a-tukorben.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/Halasz-Judit-Kep-a-tukorben_altpic_1.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/Halasz-Judit-Kep-a-tukorben_altpic_2.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/Halasz-Judit-Kep-a-tukorben_altpic_3.jpg","db","0.2","VG","EX","","","","","",""
"kalan-neni-karacsonya","Kalán néni Karácsonya / Csip-Csup Csodák ","2","999","999","Használt bakelit/vinyl lemezek, CD-k és kazetták|Mese- és gyerek használt lemezek","A lemez állapotát szemrevètelezès alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Hungary 1988<br /><br />0119","http://www.lemezordog.hu/shop_ordered/81963/shop_pic/kalan-neni-karacsonya.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/kalan-neni-karacsonya_altpic_1.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/kalan-neni-karacsonya_altpic_2.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/kalan-neni-karacsonya_altpic_3.jpg","db","0.2","G","VG","","","","","",""
"Harom-Kivansag","100 Folk Celsius és Eszményi Viktória / Három kívánság SLPM 37108","2","999","999","Használt bakelit/vinyl lemezek, CD-k és kazetták|Magyar előadók - használt lemezek|Pop, Electronic, World, Musical, Jazz magyar LP","A lemez állapotát szemrevètelezès alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Hungary 1987<br /><br />0005","http://www.lemezordog.hu/shop_ordered/81963/shop_pic/Harom-Kivansag.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/Harom-Kivansag_altpic_1.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/Harom-Kivansag_altpic_2.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/Harom-Kivansag_altpic_3.jpg","db","0.2","VG","EX","","","","","",""
"Benko-Dixieland-Band","Benkó Dixieland Band SLPX 17478","2","999","999","Használt bakelit/vinyl lemezek, CD-k és kazetták|Magyar előadók - használt lemezek|Pop, Electronic, World, Musical, Jazz magyar LP","A lemez állapotát szemrevètelezès alapján állapítottam meg. Kérem ennek tudatában vásároljon <br /><br /><br />Made in Hungary <br /><br />0006","http://www.lemezordog.hu/shop_ordered/81963/shop_pic/Benko-Dixieland-Band.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/Benko-Dixieland-Band_altpic_1.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/Benko-Dixieland-Band_altpic_2.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/Benko-Dixieland-Band_altpic_3.jpg","db","0.2","EX","NM","","","","","",""
"bock-hegedus-a-hazteton","Bock / Hegedűs a háztetőn SLPM 16719","2","999","999","Használt bakelit/vinyl lemezek, CD-k és kazetták|Magyar előadók - használt lemezek|Pop, Electronic, World, Musical, Jazz magyar LP","A lemez állapotát szemrevètelezès alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Hungary 1986<br /><br />0125","http://www.lemezordog.hu/shop_ordered/81963/shop_pic/bock-hegedus-a-hazteton.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/bock-hegedus-a-hazteton_altpic_1.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/bock-hegedus-a-hazteton_altpic_2.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/bock-hegedus-a-hazteton_altpic_3.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/bock-hegedus-a-hazteton_altpic_4.jpg","db","0.2","NM","NM","","","","","",""
"djabe-steve-hackett-back-to-sardinia_","Djabe & Steve Hackett / Back To Sardinia GR144-1","2","11499","11499","Használt bakelit/vinyl lemezek, CD-k és kazetták|Magyar előadók - használt lemezek|Pop, Electronic, World, Musical, Jazz magyar LP","A lemez állapotát szemrevètelezès alapján állapítottam meg. Kérem ennek tudatában vásároljon <br /><br />2020<br /><br />Dupla lemezes <br /><br />0111","http://www.lemezordog.hu/shop_ordered/81963/shop_pic/djabe-steve-hackett-back-to-sardinia_.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/djabe-steve-hackett-back-to-sardinia__altpic_1.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/djabe-steve-hackett-back-to-sardinia__altpic_2.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/djabe-steve-hackett-back-to-sardinia__altpic_3.jpg","db","0.2","M (újszerű, kifogástalan állapotban)","M ( újszerű, kifogástalan állapotban)","","","","","",""
"djabe-steve-hackett-the-journey-continues","Djabe & Steve Hackett / The Journey Continues GR-151","2","9999","9999","Használt bakelit/vinyl lemezek, CD-k és kazetták|Magyar előadók - használt lemezek|Pop, Electronic, World, Musical, Jazz magyar LP","A lemez állapotát szemrevètelezès alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />2021<br /><br />0113","http://www.lemezordog.hu/shop_ordered/81963/shop_pic/djabe-steve-hackett-the-journey-continues.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/djabe-steve-hackett-the-journey-continues_altpic_1.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/djabe-steve-hackett-the-journey-continues_altpic_2.jpg","db","0.2","M (újszerű, kifogástalan állapotban)","M ( újszerű, kifogástalan állapotban)","","","","","",""
"djabe-witchi-tai-to-live","Djabe / Witchi Tai To Live 2019 GR-155-1","2","9999","9999","Használt bakelit/vinyl lemezek, CD-k és kazetták|Magyar előadók - használt lemezek|Pop, Electronic, World, Musical, Jazz magyar LP","A lemez állapotát szemrevètelezès alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />2022<br /><br />0112","http://www.lemezordog.hu/shop_ordered/81963/shop_pic/djabe-witchi-tai-to-live.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/djabe-witchi-tai-to-live_altpic_1.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/djabe-witchi-tai-to-live_altpic_2.jpg|http://www.lemezordog.hu/shop_ordered/81963/shop_altpic/djabe-witchi-tai-to-live_altpic_3.jpg","db","0.2","M (újszerű, kifogástalan állapotban)","M ( újszerű, kifogástalan állapotban)","","","","","",""
