Cikkszám,Termék Név,Státusz,Nettó Ár,Bruttó Ár,Kategória,Rövid Leírás,Hosszú leírás,Kép link,Egység,Tömeg,Paraméter: Lemez állapota||text,Paraméter: Borító állapota||text,Paraméter: Label||text,Raktárkészlet
The-Gold-Experience-9362-45999-1,The Artist (Formerly Known As Prince) / The Gold Experience 9362-45999-1,1,178564.5,178564.5,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Rock","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Europe, 1995<br /><br />0129 
  Eredeti belső tasakok megvannak és nagyon szép állapotúak! ",,,db,0.2,Good Plus (G+),Near Mint (NM or M-),"Warner Bros. Records, NPG Records",0
Blurred-Lines-3755893,Robin Thicke / Blurred Lines 3755893,1,158724.0,158724.0,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Hip Hop","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Europe, 2013<br /><br />0129 
 ÚJ  fóliázott termék!!",,,db,0.2,Mint (M),Mint (M),Star Trak LLC,0
-KL-1176,Teresa Teng / 難忘的一天 KL-1176,1,158724.0,158724.0,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Pop",,,,db,0.2,Near Mint (NM or M-),Very Good Plus (VG+),Kolin,0
Flesh-On-Flesh-SACD-63543,Al Di Meola / Flesh On Flesh SACD-63543,1,13094.73,13094.73,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Jazz","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in US, 2003<br /><br />0129 
 Karcmentes CD!",,,db,0.2,Near Mint (NM or M-),Near Mint (NM or M-),Telarc,0
Consequence-Of-Chaos-SACD-63649,Al Di Meola / Consequence Of Chaos SACD-63649,1,7936.2,7936.2,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Jazz","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in US, 2006<br /><br />0129 
 Karcmentes CD!",,,db,0.2,Near Mint (NM or M-),Near Mint (NM or M-),Telarc,0
Classical-SACD-Sampler-II-SACD-60007,Various / Classical SACD Sampler II SACD-60007,1,5952.15,5952.15,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Classical","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in US, 2003<br /><br />0129 
 Karcmentes CD!",,,db,0.2,Near Mint (NM or M-),Near Mint (NM or M-),Telarc Surround,0
The-Beatles-At-The-Hollywood-Bowl-EAS-80830,The Beatles / The Beatles At The Hollywood Bowl EAS-80830,1,17856.45,17856.45,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Rock","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Japan, 1977<br /><br />0129 
 OBI megvan, eredeti belső tasak és a négy oldalas füzet megvan! Gyűjtői minőségi darab!",,,db,0.2,Near Mint (NM or M-),Mint (M),Odeon,0
Made-In-Europe-P-10262W,Deep Purple / Made In Europe P-10262W,1,9920.25,9920.25,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Rock","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Japan, 1976<br /><br />0129 
 No OBI! I have an insert!",,,db,0.2,Near Mint (NM or M-),Very Good Plus (VG+),"Warner Bros. Records, Purple Records",0
Chicago-V-SOPM-21,Chicago (2) / Chicago V SOPM 21,1,9920.25,9920.25,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Jazz","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Japan, 1972<br /><br />0129 
 OBI nincs! Gatefold hüvely nyomtatott eredeti  belső tasakkal, 16 oldalas hajtogatott betéttel dalszövegekkel, kreditekkel és képekkel.",,,db,0.2,Near Mint (NM or M-),Near Mint (NM or M-),CBS/Sony,0
-Album-Hot-Bubblegum-Lemon-Popsicle-III-28MM-0045,Various / The Original Soundtrack Album Hot Bubblegum (Lemon Popsicle III) 28MM 0045,1,5555.34,5555.34,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Rock","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Japan, 1981<br /><br />0129 
 Yes OBI! No insert!",,,db,0.2,Near Mint (NM or M-),Near Mint (NM or M-),Polydor,0
Dont-Suppose-EMS-91080,Limahl / Don't Suppose EMS-91080,1,5952.15,5952.15,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Electronic","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Japan, 1984<br /><br />0129 
 Yes there is OBI and insert! No poster!",,,db,0.2,Near Mint (NM or M-),Near Mint (NM or M-),EMI,0
The-Wanderer-P-10945W,Donna Summer / The Wanderer P-10945W,1,5952.15,5952.15,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Electronic","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Japan, 1980<br /><br />0129 
 OBI van! Insert és az eredeti belső tasak is megvan!",,,db,0.2,Near Mint (NM or M-),Near Mint (NM or M-),Geffen Records,0
Best-Collection-MV-9081,Oscar Peterson / Best Collection MV 9081/2,1,9920.25,9920.25,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Jazz","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Japan, 1980<br /><br />0129 
 OBI megvan.",,,db,0.2,Near Mint (NM or M-),Near Mint (NM or M-),Verve Records,0
Tristeza-On-Piano-YS-2416-MP,The Oscar Peterson Trio / Tristeza On Piano YS-2416-MP,1,9920.25,9920.25,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Jazz","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Japan, 1971<br /><br />0129 
 OBI megvan.",,,db,0.2,Near Mint (NM or M-),Near Mint (NM or M-),MPS Records,0
Action-ULS-1697-P,Oscar Peterson / Action ULS 1697 P,1,7936.2,7936.2,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Jazz","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Japan, 1975<br /><br />0129 
 Obi nincs! Az insert megvan!",,,db,0.2,Near Mint (NM or M-),Near Mint (NM or M-),MPS Records,0
Lawyers-In-Love-P-11391,Jackson Browne / Lawyers In Love P-11391,1,7936.2,7936.2,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Rock","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Japan, 1983<br /><br />0129 
 OBI van! Insert és az eredeti belső tasak is megvan!",,,db,0.2,Near Mint (NM or M-),Near Mint (NM or M-),Asylum Records,0
Billys-Barbeque-Arabesque-V-VIP-28024,"Arabesque, Arabesque / Billy's Barbeque (Arabesque V) = ビリーズ・バーベキュー アラベスク VIP-28024",1,11904.3,11904.3,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Electronic","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Japan, 1981<br /><br />0129 
 OBI van! Insert van!",,,db,0.2,Near Mint (NM or M-),Near Mint (NM or M-),Victor,0
Big-Apple-EMS-27009,Kajagoogoo / Big Apple EMS-27009,1,7936.2,7936.2,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Electronic","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Japan, 1983<br /><br />0129 
 OBI van! Insert van!",,,db,0.2,Near Mint (NM or M-),Near Mint (NM or M-),EMI,0
Golden-Prize-GP64,Shirley Bassey / Golden Prize GP64,1,3968.1,3968.1,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Jazz","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Japan, 1972<br /><br />0129 
 Obi nincs! Az insert megvan!",,,db,0.2,Near Mint (NM or M-),Very Good Plus (VG+),"United Artists Records, United Artists Records",0
Grand-Canyon-Suite-RCL-8306,"Tomita, The Plasma Symphony Orchestra / Grand Canyon Suite = 大峡谷 RCL-8306",1,7936.2,7936.2,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Electronic","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Japan, 1982<br /><br />0129 
 OBI van! Insert van!",,,db,0.2,Near Mint (NM or M-),Near Mint (NM or M-),RCA Red Seal,0
Irgendwo-Irgendwann-Special-12-Dance-Mix-123P-583,"Nena / Irgendwie - Irgendwo - Irgendwann (Special 12"" Dance-Mix) 12・3P-583",1,5952.15,5952.15,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Electronic","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Japan, 1985<br /><br />0129 
 OBI van!",,,db,0.2,Very Good Plus (VG+),Near Mint (NM or M-),Epic International,0
-Fragezeichen-283P-544,Nena / ? (Fragezeichen) 28·3P-544,1,5952.15,5952.15,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Rock","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Japan, 1984<br /><br />0129 
 OBI van! Insert van!",,,db,0.2,Very Good Plus (VG+),Near Mint (NM or M-),Epic International,0
Tiger-Tiger-EMS-50142,Duran Duran / Tiger! Tiger! EMS-50142,1,9920.25,9920.25,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Electronic","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Japan, 1984<br /><br />0129 
 OBI van! Insert van!",,,db,0.2,Near Mint (NM or M-),Near Mint (NM or M-),EMI,0
If-I-Should-Love-Again-20RS-17,Barry Manilow / If I Should Love Again 20RS-17,1,3968.1,3968.1,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Pop","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Japan, 1982<br /><br />0129 
 OBI van! Insert van!",,,db,0.2,Near Mint (NM or M-),Near Mint (NM or M-),Arista,0
Power-House-P-10444W,Deep Purple / Power House P-10444W,1,13888.35,13888.35,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Rock","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Japan, 1977<br /><br />0129 
 OBI van! Insert van!",,,db,0.2,Near Mint (NM or M-),Near Mint (NM or M-),Warner Bros. Records,0
My-Favorite-Instrument-ULS-1698-P,Oscar Peterson / My Favorite Instrument ULS-1698-P,1,7936.2,7936.2,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Jazz","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Japan, 1975<br /><br />0129 
 OBI nincs! Insert van!",,,db,0.2,Near Mint (NM or M-),Near Mint (NM or M-),MPS Records,0
Rocksteady-SACD-63581,"Monty Alexander, Ernest Ranglin / Rocksteady SACD-63581",1,5158.53,5158.53,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Jazz","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in US, 2004<br /><br />0129 
 Karcmentes CD!",,,db,0.2,Near Mint (NM or M-),Near Mint (NM or M-),Telarc,0
Right-In-My-Soul-EAGCD208,Candy Dulfer / Right In My Soul EAGCD208,1,1190.43,1190.43,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Electronic","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Germany, 2003<br /><br />0129 
 Karcmentes CD!",,,db,0.2,Near Mint (NM or M-),Near Mint (NM or M-),"Eagle Records, Eagle Records",0
Tree-People-LIP-8931-2,"Metro (12), Mitchel Forman, Chuck Loeb, Wolfgang Haffner, Victor Bailey / Tree People LIP 8931-2",1,2777.67,2777.67,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Jazz","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in US, 1995<br /><br />0129 
 Karcmentes CD!",,,db,0.2,Near Mint (NM or M-),Near Mint (NM or M-),Lipstick Records (3),0
Look-Again-4019,Nelson Rangell / Look Again 4019,1,1190.43,1190.43,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Jazz","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in US, 2003<br /><br />0129 
 Karcmentes CD!",,,db,0.2,Near Mint (NM or M-),Near Mint (NM or M-),A440 Music Group,0
Jazz-Moods-Cool-COL-516431-2-5164312000,"Grover Washington, Jr. / Jazz Moods - Cool  COL 516431 2 - 5164312000",1,1984.05,1984.05,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Jazz","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Europe, 2004<br /><br />0129 
 Karcmentes CD!",,,db,0.2,Near Mint (NM or M-),Near Mint (NM or M-),"Columbia, Legacy",0
Straight-To-You-HOMCD-7095,Brian Hughes / Straight To You HOMCD 7095,1,1190.43,1190.43,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Jazz","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in US, 1996<br /><br />0129 
 Karcmentes CD!",,,db,0.2,Near Mint (NM or M-),Near Mint (NM or M-),"Higher Octave Music, Higher Octave Jazz",0
One-2-One-VHOCD-12,Brian Hughes / One 2 One VHOCD 12,1,1190.43,1190.43,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Jazz","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Europe, 1998<br /><br />0129 
 Karcmentes CD!",,,db,0.2,Near Mint (NM or M-),Near Mint (NM or M-),Higher Octave Jazz,0
Het-Eiland-In-De-Verte-986-614-7,Boudewijn de Groot / Het Eiland In De Verte 986 614-7,1,1190.43,1190.43,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Pop",,,,db,0.2,Very Good Plus (VG+),Very Good Plus (VG+),"Hans, Universal",0
er-Nostra-Jewish-Gangsters-Greatest-Hits-AY-CD-13,"Oz Almog, Shantel / Kosher Nostra (Jewish Gangsters Greatest Hits) AY CD 13",1,2777.67,2777.67,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Jazz","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Germany, 2011<br /><br />0129 
 Karcmentes CD!",,,db,0.2,Very Good Plus (VG+),Near Mint (NM or M-),Essay Recordings,0
Hands-On-The-Wheel-250353,Brad Wilson (2) / Hands On The Wheel 250353,1,1984.05,1984.05,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Rock","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Europe, 2013<br /><br />0129 
 Karcmentes CD!",,,db,0.2,Near Mint (NM or M-),Near Mint (NM or M-),"Blues Boulevard, Music Avenue",0
Blues-From-The-Heart-9031722,Various / Blues From The Heart 9031722,1,1190.43,1190.43,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Blues","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Europe, 2009<br /><br />0129 
 Karcmentes CDk!",,,db,0.2,Very Good Plus (VG+),Near Mint (NM or M-),LMM,0
Megsem-Mulik-El-VEQCD002,Váczi Eszter Quartet / Mégsem Múlik El VEQCD002,1,1190.43,1190.43,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Jazz",,,,db,0.2,Near Mint (NM or M-),Very Good Plus (VG+),VEQ Records,0
